id;nome;area;turno;allowed_roles;created_at;store_id;allowed_role_ids
f49d9370-650d-4fa0-a364-95ec4b6c99a4;Fechamento Loja - MERCADOTECA;loja;noite;{};2025-10-03 01:28:23.95963+00;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;"[""edc4d1a7-74ed-454e-8e96-ee327aa4226f"",""3e4a2f27-fb89-47b4-8315-b5b3580025bc""]"
73726e29-cdcd-4a7f-8b91-5a5dad7cfc11;Abertura Bar (10h.);bar;manha;{barman,lider_bar,lider};2025-10-02 22:40:22.368771+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""24948840-04c0-4e2c-b542-697d332c2f55"",""61a7eda8-9044-4d16-8810-fdaf4bece6b0"",""d76e35ea-3a88-4895-9531-ebfbaad43854""]"
9efde674-da2a-4dbd-a679-3b2c25c17a13;Fechamento Loja (23:45);loja;noite;{garcom,garconete,atendente,lider};2025-10-02 22:40:22.368771+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""274f1858-aeed-434e-8b4a-fe94ead2493f"",""45d1a581-2399-4126-8c66-e82015b20a7a"",""61a7eda8-9044-4d16-8810-fdaf4bece6b0"",""719b9d45-953a-4e9f-8ecb-d35e9dda783f""]"
c7881589-1478-499f-876c-041bcc154ac5;Abertura Loja (09:00h.);loja;manha;{garcom,garconete,atendente,lider};2025-10-02 22:40:22.368771+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""274f1858-aeed-434e-8b4a-fe94ead2493f"",""45d1a581-2399-4126-8c66-e82015b20a7a"",""61a7eda8-9044-4d16-8810-fdaf4bece6b0"",""719b9d45-953a-4e9f-8ecb-d35e9dda783f""]"
facc515c-d972-472b-bb1c-1b0c50184bd8;Abertura Loja - MERCADOTECA;loja;manha;{atendente,lider};2025-10-03 01:28:23.95963+00;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;"[""3e4a2f27-fb89-47b4-8315-b5b3580025bc"",""edc4d1a7-74ed-454e-8e96-ee327aa4226f""]"
092d773f-0791-4af0-a683-4c3c57756af7;Entrada turno 2 (16:00h.) - atendimento.;loja;tarde;{admin,lider,garcom,garconete,atendente};2025-10-03 01:23:04.676614+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""274f1858-aeed-434e-8b4a-fe94ead2493f"",""45d1a581-2399-4126-8c66-e82015b20a7a"",""61a7eda8-9044-4d16-8810-fdaf4bece6b0"",""719b9d45-953a-4e9f-8ecb-d35e9dda783f"",""fc0030c9-9073-4837-a6b5-e8896c036928""]"
711fa35e-048a-458f-ba91-3d6a880d40ab;Abertura Cozinha - MERCADORECA;cozinha;manha;{cozinheiro,cozinheiro_lider,auxiliar_cozinha,lider};2025-10-03 01:28:23.95963+00;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;"[""056ddb1a-dbad-40d5-972e-0c54c8f8eedb"",""3e4a2f27-fb89-47b4-8315-b5b3580025bc"",""975b9af3-002a-410d-904e-f1fa2fe2efa7"",""a58fb56f-a5d7-4115-a3c5-6409469ce110""]"
351b4809-1dae-4b0c-a08d-ff34501422db;Saída turno 1  (17:20);loja;tarde;{garcom,garconete,atendente,lider,admin};2025-10-03 00:14:07.68155+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""274f1858-aeed-434e-8b4a-fe94ead2493f"",""45d1a581-2399-4126-8c66-e82015b20a7a"",""61a7eda8-9044-4d16-8810-fdaf4bece6b0"",""719b9d45-953a-4e9f-8ecb-d35e9dda783f"",""fc0030c9-9073-4837-a6b5-e8896c036928""]"
ce8839f0-5255-4b87-a5dc-02923c8af038;Fechamento Cozinha (23:30);cozinha;noite;{cozinheiro,cozinheiro_lider,auxiliar_cozinha};2025-10-02 22:40:22.368771+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""130eb138-8e8d-4a32-ad5d-af1a8fe290e5"",""1d128383-25ce-48d6-89dc-1e3d6524fc6d"",""dd4e327e-f35f-4c53-8efd-c692b7d991d8""]"
a3589e11-5f01-4f9c-b886-c8394c40fe6d;Fechamento Bar (23:30);bar;noite;{barman,lider_bar,lider};2025-10-02 22:40:22.368771+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""24948840-04c0-4e2c-b542-697d332c2f55"",""61a7eda8-9044-4d16-8810-fdaf4bece6b0"",""d76e35ea-3a88-4895-9531-ebfbaad43854""]"
08dd4c3e-f335-4153-babd-6240ae340d35;Abertura Cozinha (09:00);cozinha;manha;{cozinheiro,cozinheiro_lider,auxiliar_cozinha};2025-10-02 22:40:22.368771+00;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;"[""130eb138-8e8d-4a32-ad5d-af1a8fe290e5"",""1d128383-25ce-48d6-89dc-1e3d6524fc6d"",""dd4e327e-f35f-4c53-8efd-c692b7d991d8""]"
48a78a91-418a-4086-b09f-5355e8a0f79d;Fechamento Cozinha - MERCADOTECA;cozinha;noite;{cozinheiro,cozinheiro_lider,auxiliar_cozinha,lider};2025-10-03 01:28:23.95963+00;ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;"[""056ddb1a-dbad-40d5-972e-0c54c8f8eedb"",""3e4a2f27-fb89-47b4-8315-b5b3580025bc"",""975b9af3-002a-410d-904e-f1fa2fe2efa7"",""a58fb56f-a5d7-4115-a3c5-6409469ce110""]"
